strategy time_total_s
coassembly_animal 278594.2995288372
coassembly_timepoint_all 116534.40808987617
coassembly_timepoint_cage 268675.2865355015
multi-coverage_animal 2035792.015225172
multi-coverage_timepoint_all 849471.3765559196
multi-coverage_timepoint_cage 1982848.9075789452
multi-split_animal 325228.48704504967
multi-split_timepoint_all 770279.2422556877
multi-split_timepoint_cage 307720.38065576553
single-coverage 1206922.5286433697
coassembly_treat 248890.6137
coassembly_cage_treat 278180.4382
coassembly_long 260693.70919999998
