genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
ALL_dreped_coassembly_cage_treat_C03_CD_bin.37	3724	3568	124	class	0.95	0.91	0.17	0.03	0.05	0.66	0.6	True
ALL_dreped_coassembly_cage_treat_C03_CD_bin.77	3806	3504	817	genus	0.78	0.72	0.46	0.4	1.53	0.78	0.56	False
ALL_dreped_coassembly_cage_treat_C03_CR_bin.56	1354	1194	40	order	0.91	0.81	0.08	0.47	1.3	0.55	0.45	True
ALL_dreped_coassembly_cage_treat_C03_HT_bin.36	2705	2498	51	family	0.91	0.84	0.06	0.27	0.76	0.64	0.54	True
ALL_dreped_coassembly_cage_treat_C03_OP_bin.15	2645	2465	563	class	0.97	0.9	0.28	0.34	0.82	0.77	0.7	True
ALL_dreped_coassembly_cage_treat_C05_CD_bin.67	2303	2190	514	class	0.97	0.93	0.32	0.35	0.83	0.77	0.72	True
ALL_dreped_coassembly_cage_treat_C05_CR_bin.48	3780	3472	157	class	0.98	0.9	0.21	0.31	0.81	0.65	0.58	True
ALL_dreped_coassembly_cage_treat_C05_HR_bin.45	1842	1731	339	class	0.97	0.91	0.24	0.31	0.75	0.77	0.71	True
ALL_dreped_coassembly_cage_treat_C05_OP_bin.38	2941	2770	384	class	0.96	0.91	0.28	0.41	0.94	0.76	0.68	True
ALL_dreped_coassembly_cage_treat_C06_CR_bin.8	2572	2446	536	class	0.98	0.93	0.28	0.32	0.76	0.78	0.73	True
ALL_dreped_coassembly_cage_treat_C06_OP_bin.55	2194	2047	556	family	0.93	0.87	0.27	0.32	1.04	0.77	0.67	True
ALL_dreped_coassembly_cage_treat_C10_CD_bin.18	3387	3242	104	genus	0.77	0.74	0.09	0.66	3.68	0.68	0.5	True
ALL_dreped_coassembly_cage_treat_C10_CR_bin.71	2326	2171	506	class	0.97	0.91	0.29	0.33	0.8	0.77	0.7	True
ALL_dreped_coassembly_cage_treat_C10_HR_bin.20	1827	1517	31	phylum	0.95	0.79	0.04	0.27	0.69	0.52	0.41	True
ALL_dreped_coassembly_cage_treat_C10_HR_bin.73	2948	2744	572	class	0.97	0.9	0.27	0.37	0.88	0.77	0.69	True
ALL_dreped_coassembly_cage_treat_C10_HT_bin.15	2045	1923	494	class	0.98	0.92	0.32	0.31	0.75	0.78	0.72	True
ALL_dreped_coassembly_cage_treat_C10_OP_bin.4	3346	3067	641	genus	0.67	0.62	0.2	0.6	3.32	0.67	0.41	True
ALL_dreped_coassembly_cage_treat_C10_OP_bin.58	3566	3357	78	genus	0.82	0.77	0.06	0.54	2.76	0.66	0.51	True
ALL_dreped_coassembly_cage_treat_C10_OP_bin.63	3273	2909	162	family	0.83	0.74	0.11	0.47	1.94	0.59	0.44	True
ALL_dreped_coassembly_cage_treat_C11_HR_bin.6	2042	1893	199	class	0.97	0.9	0.2	0.35	0.83	0.76	0.69	True
ALL_dreped_coassembly_cage_treat_C11_OP_bin.40	2486	2325	661	genus	0.83	0.78	0.41	0.15	0.36	0.75	0.59	True
ALL_dreped_coassembly_cage_treat_C12_CD_bin.67	3372	3155	700	phylum	0.99	0.92	0.93	0.1	0.22	0.77	0.71	False
ALL_dreped_coassembly_cage_treat_C12_CR_bin.72	2747	2575	559	class	0.96	0.9	0.31	0.37	0.87	0.76	0.69	True
ALL_dreped_coassembly_cage_treat_C12_CR_bin.9	3628	3443	121	genus	0.88	0.83	0.07	0.35	0.96	0.81	0.67	True
ALL_dreped_coassembly_cage_treat_C12_HT_bin.36	1942	1813	485	genus	0.85	0.8	0.39	0.12	0.27	0.75	0.6	True
ALL_dreped_coassembly_cage_treat_C12_HT_bin.37	1805	1773	38	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
ALL_dreped_coassembly_long_C03M1_bin.6	2258	2114	476	genus	0.87	0.81	0.31	0.23	0.64	0.79	0.64	True
ALL_dreped_coassembly_long_C03M1_bin.63	1423	1220	34	family	0.78	0.66	0.01	0.7	3.8	0.52	0.35	True
ALL_dreped_coassembly_long_C03M2_bin.14	3091	2671	706	genus	0.63	0.54	0.46	0.57	2.9	0.68	0.37	False
ALL_dreped_coassembly_long_C03M2_bin.15	2123	1980	615	genus	0.87	0.82	0.67	0.04	0.07	0.82	0.67	False
ALL_dreped_coassembly_long_C03M3_bin.1	2629	2526	149	genus	0.86	0.82	0.35	0.03	0.07	0.85	0.7	True
ALL_dreped_coassembly_long_C03M4_bin.27	3286	3093	247	genus	0.77	0.73	0.13	0.43	1.45	0.72	0.52	True
ALL_dreped_coassembly_long_C03M4_bin.60	3008	2849	76	order	0.96	0.91	0.06	0.04	0.08	0.69	0.63	True
ALL_dreped_coassembly_long_C03M4_bin.63	3672	3439	223	genus	0.68	0.63	0.09	0.68	5.5	0.67	0.43	True
ALL_dreped_coassembly_long_C05M1_bin.43	2908	2704	378	genus	0.76	0.7	0.24	0.12	0.26	0.74	0.52	True
ALL_dreped_coassembly_long_C05M3_bin.2	4517	4280	238	genus	0.74	0.7	0.11	0.62	3.52	0.68	0.47	True
ALL_dreped_coassembly_long_C05M3_bin.30	4082	3942	149	genus	0.84	0.81	0.14	0.39	1.4	0.8	0.65	True
ALL_dreped_coassembly_long_C05M3_bin.32	3301	3148	794	family	0.93	0.89	0.28	0.09	0.2	0.79	0.71	True
ALL_dreped_coassembly_long_C05M3_bin.5	1455	1157	109	family	0.91	0.72	0.09	0.69	3.15	0.57	0.41	True
ALL_dreped_coassembly_long_C05M3_bin.50	3790	3603	115	genus	0.8	0.76	0.11	0.26	0.74	0.75	0.57	True
ALL_dreped_coassembly_long_C05M5_bin.38	3087	3024	108	kingdom	1.0	0.98	0.0	0.0	0.0	0.96	0.94	True
ALL_dreped_coassembly_long_C06M1_bin.15	2285	2135	549	genus	0.84	0.79	0.31	0.24	0.67	0.8	0.63	True
ALL_dreped_coassembly_long_C06M1_bin.51	3542	3380	196	genus	0.78	0.75	0.19	0.22	0.6	0.78	0.58	True
ALL_dreped_coassembly_long_C06M2_bin.43	2689	2570	292	genus	0.85	0.81	0.45	0.04	0.08	0.87	0.7	False
ALL_dreped_coassembly_long_C06M5_bin.10	3479	3249	212	class	0.95	0.89	0.23	0.31	0.75	0.65	0.58	True
ALL_dreped_coassembly_long_C06M5_bin.26	2719	2546	596	class	0.96	0.9	0.29	0.34	0.82	0.77	0.69	True
ALL_dreped_coassembly_long_C06M5_bin.43	4142	3813	804	class	0.97	0.89	0.36	0.31	0.8	0.65	0.58	True
ALL_dreped_coassembly_long_C06M5_bin.55	4302	3965	130	genus	0.68	0.63	0.08	0.66	4.99	0.69	0.43	True
ALL_dreped_coassembly_long_C10F1_bin.67	2300	2117	622	class	0.96	0.89	0.31	0.06	0.14	0.71	0.63	True
ALL_dreped_coassembly_long_C10F3_bin.26	3285	3101	80	class	0.97	0.92	0.04	0.11	0.24	0.66	0.6	True
ALL_dreped_coassembly_long_C10F4_bin.31	3074	2931	176	genus	0.83	0.79	0.09	0.56	2.96	0.67	0.53	True
ALL_dreped_coassembly_long_C10F4_bin.44	1591	1298	64	class	0.96	0.78	0.05	0.41	1.33	0.58	0.45	True
ALL_dreped_coassembly_long_C10F4_bin.50	3324	3078	677	order	0.95	0.88	0.37	0.43	0.96	0.76	0.67	True
ALL_dreped_coassembly_long_C10F5_bin.23	3244	2992	614	genus	0.79	0.73	0.15	0.68	3.93	0.68	0.5	True
ALL_dreped_coassembly_long_C10F5_bin.40	2680	2548	475	class	0.95	0.91	0.22	0.06	0.12	0.65	0.59	True
ALL_dreped_coassembly_long_C11F1_bin.10	3456	3318	192	genus	0.83	0.8	0.26	0.23	0.6	0.82	0.65	True
ALL_dreped_coassembly_long_C11F1_bin.44	4130	4002	206	genus	0.83	0.8	0.13	0.4	1.51	0.78	0.63	True
ALL_dreped_coassembly_long_C11F2_bin.59	2511	2402	96	genus	0.8	0.77	0.11	0.48	1.93	0.68	0.52	True
ALL_dreped_coassembly_long_C11F2_bin.61	3423	3235	180	order	0.96	0.91	0.22	0.38	0.95	0.66	0.6	True
ALL_dreped_coassembly_long_C11F2_bin.65	2268	2118	503	genus	0.83	0.77	0.27	0.23	0.64	0.79	0.61	True
ALL_dreped_coassembly_long_C11F3_bin.5	1974	1868	188	class	0.97	0.92	0.2	0.32	0.78	0.77	0.71	True
ALL_dreped_coassembly_long_C11F5_bin.30	3800	3414	185	class	0.96	0.87	0.11	0.02	0.04	0.64	0.55	True
ALL_dreped_coassembly_long_C11F5_bin.64	2667	2446	547	genus	0.73	0.67	0.21	0.59	3.12	0.66	0.44	True
ALL_dreped_coassembly_long_C12F1_bin.26	2088	1983	248	class	0.97	0.92	0.22	0.31	0.75	0.77	0.71	True
ALL_dreped_coassembly_long_C12F1_bin.31	3740	3659	111	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.91	True
ALL_dreped_coassembly_long_C12F2_bin.48	3592	3336	196	order	0.94	0.87	0.13	0.03	0.06	0.69	0.6	True
ALL_dreped_coassembly_long_C12F2_bin.57	3349	3035	749	class	0.95	0.86	0.45	0.49	1.0	0.76	0.65	False
ALL_dreped_coassembly_long_C12F2_bin.58	2952	2721	647	genus	0.8	0.74	0.46	0.18	0.45	0.74	0.55	False
ALL_dreped_coassembly_long_C12F3_bin.10	3853	3304	864	genus	0.69	0.59	0.34	0.59	3.59	0.64	0.38	True
ALL_dreped_coassembly_long_C12F3_bin.30	2366	2191	39	family	0.93	0.86	0.07	0.12	0.28	0.67	0.58	True
ALL_dreped_coassembly_long_C12F3_bin.8	3474	3099	165	class	0.94	0.83	0.15	0.03	0.07	0.62	0.52	True
ALL_dreped_coassembly_long_C12F5_bin.18	3349	3266	64	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
ALL_dreped_coassembly_long_C12F5_bin.29	2956	2690	407	genus	0.7	0.64	0.19	0.56	2.8	0.67	0.42	True
ALL_dreped_coassembly_long_C12F5_bin.33	2678	2548	153	class	0.97	0.92	0.21	0.36	0.85	0.77	0.71	True
ALL_dreped_coassembly_long_C12F5_bin.40	1949	1821	109	genus	0.94	0.88	0.04	0.2	0.56	0.66	0.58	True
ALL_dreped_coassembly_long_C12F5_bin.42	4054	3922	239	genus	0.86	0.83	0.16	0.38	1.37	0.8	0.66	True
ALL_dreped_coassembly_long_C12F5_bin.5	3132	3078	115	family	0.97	0.95	0.18	0.13	0.29	0.96	0.91	True
ALL_dreped_coassembly_long_C12F5_bin.6	4132	3877	144	genus	0.82	0.77	0.09	0.55	2.95	0.67	0.52	True
ALL_dreped_coassembly_treat_CD_bin.101	1850	1553	333	genus	0.58	0.49	0.2	0.52	2.56	0.54	0.26	True
ALL_dreped_coassembly_treat_CD_bin.102	3318	3164	107	class	0.95	0.91	0.1	0.3	0.72	0.66	0.6	True
ALL_dreped_coassembly_treat_CD_bin.103	3120	2915	676	genus	0.83	0.78	0.15	0.56	2.09	0.74	0.57	True
ALL_dreped_coassembly_treat_CD_bin.107	2595	2366	159	genus	0.7	0.64	0.1	0.57	2.96	0.65	0.41	True
ALL_dreped_coassembly_treat_CD_bin.109	3020	2825	100	class	0.96	0.9	0.05	0.11	0.25	0.65	0.59	True
ALL_dreped_coassembly_treat_CD_bin.132	2644	2478	62	genus	0.77	0.72	0.08	0.5	1.95	0.67	0.48	True
ALL_dreped_coassembly_treat_CD_bin.138	3047	2917	279	genus	0.72	0.69	0.08	0.7	6.3	0.66	0.46	True
ALL_dreped_coassembly_treat_CD_bin.53	3980	3714	652	order	0.96	0.89	0.31	0.31	0.8	0.66	0.59	True
ALL_dreped_coassembly_treat_CD_bin.61	2687	2502	130	order	0.96	0.9	0.28	0.12	0.26	0.8	0.72	True
ALL_dreped_coassembly_treat_CD_bin.68	2891	2730	607	class	0.97	0.91	0.29	0.35	0.84	0.77	0.7	True
ALL_dreped_coassembly_treat_CD_bin.69	3031	2717	231	genus	0.68	0.61	0.13	0.59	3.04	0.66	0.4	True
ALL_dreped_coassembly_treat_CR_bin.10	2901	2620	128	genus	0.59	0.53	0.09	0.82	8.14	0.58	0.31	True
ALL_dreped_coassembly_treat_CR_bin.110	3650	3399	195	class	0.96	0.9	0.21	0.32	0.85	0.65	0.58	True
ALL_dreped_coassembly_treat_CR_bin.113	2955	2760	391	class	0.96	0.9	0.11	0.1	0.22	0.66	0.59	True
