genome n_contigs pass.GUNC
ALL_dreped_coassembly_cage_treat_C03_CD_bin.37 124 TRUE
ALL_dreped_coassembly_cage_treat_C03_CD_bin.77 817 FALSE
ALL_dreped_coassembly_cage_treat_C03_CR_bin.56 40 TRUE
ALL_dreped_coassembly_cage_treat_C03_HT_bin.36 51 TRUE
ALL_dreped_coassembly_cage_treat_C03_OP_bin.15 563 TRUE
ALL_dreped_coassembly_cage_treat_C05_CD_bin.67 514 TRUE
ALL_dreped_coassembly_cage_treat_C05_CR_bin.48 157 TRUE
ALL_dreped_coassembly_cage_treat_C05_HR_bin.45 339 TRUE
ALL_dreped_coassembly_cage_treat_C05_OP_bin.38 384 TRUE
ALL_dreped_coassembly_cage_treat_C06_CR_bin.8 536 TRUE
ALL_dreped_coassembly_cage_treat_C06_OP_bin.55 556 TRUE
ALL_dreped_coassembly_cage_treat_C10_CD_bin.18 104 TRUE
ALL_dreped_coassembly_cage_treat_C10_CR_bin.71 506 TRUE
ALL_dreped_coassembly_cage_treat_C10_HR_bin.20 31 TRUE
ALL_dreped_coassembly_cage_treat_C10_HR_bin.73 572 TRUE
ALL_dreped_coassembly_cage_treat_C10_HT_bin.15 494 TRUE
ALL_dreped_coassembly_cage_treat_C10_OP_bin.4 641 TRUE
ALL_dreped_coassembly_cage_treat_C10_OP_bin.58 78 TRUE
ALL_dreped_coassembly_cage_treat_C10_OP_bin.63 162 TRUE
ALL_dreped_coassembly_cage_treat_C11_HR_bin.6 199 TRUE
ALL_dreped_coassembly_cage_treat_C11_OP_bin.40 661 TRUE
ALL_dreped_coassembly_cage_treat_C12_CD_bin.67 700 FALSE
ALL_dreped_coassembly_cage_treat_C12_CR_bin.72 559 TRUE
ALL_dreped_coassembly_cage_treat_C12_CR_bin.9 121 TRUE
ALL_dreped_coassembly_cage_treat_C12_HT_bin.36 485 TRUE
ALL_dreped_coassembly_cage_treat_C12_HT_bin.37 38 TRUE
ALL_dreped_coassembly_long_C03M1_bin.6 476 TRUE
ALL_dreped_coassembly_long_C03M1_bin.63 34 TRUE
ALL_dreped_coassembly_long_C03M2_bin.14 706 FALSE
ALL_dreped_coassembly_long_C03M2_bin.15 615 FALSE
ALL_dreped_coassembly_long_C03M3_bin.1 149 TRUE
ALL_dreped_coassembly_long_C03M4_bin.27 247 TRUE
ALL_dreped_coassembly_long_C03M4_bin.60 76 TRUE
ALL_dreped_coassembly_long_C03M4_bin.63 223 TRUE
ALL_dreped_coassembly_long_C05M1_bin.43 378 TRUE
ALL_dreped_coassembly_long_C05M3_bin.2 238 TRUE
ALL_dreped_coassembly_long_C05M3_bin.30 149 TRUE
ALL_dreped_coassembly_long_C05M3_bin.32 794 TRUE
ALL_dreped_coassembly_long_C05M3_bin.5 109 TRUE
ALL_dreped_coassembly_long_C05M3_bin.50 115 TRUE
ALL_dreped_coassembly_long_C05M5_bin.38 108 TRUE
ALL_dreped_coassembly_long_C06M1_bin.15 549 TRUE
ALL_dreped_coassembly_long_C06M1_bin.51 196 TRUE
ALL_dreped_coassembly_long_C06M2_bin.43 292 FALSE
ALL_dreped_coassembly_long_C06M5_bin.10 212 TRUE
ALL_dreped_coassembly_long_C06M5_bin.26 596 TRUE
ALL_dreped_coassembly_long_C06M5_bin.43 804 TRUE
ALL_dreped_coassembly_long_C06M5_bin.55 130 TRUE
ALL_dreped_coassembly_long_C10F1_bin.67 622 TRUE
ALL_dreped_coassembly_long_C10F3_bin.26 80 TRUE
ALL_dreped_coassembly_long_C10F4_bin.31 176 TRUE
ALL_dreped_coassembly_long_C10F4_bin.44 64 TRUE
